textID,text,sentiments,target,Age
cb774db0d1,"I`d have responded, if I were going",neutral,0,0-20
549e992a42,Sooo SAD,negative,-1,21-30
088c60f138,bullying me,negative,-1,31-45
9642c003ef,leave me alone,negative,-1,46-60
358bd9e861,"Sons of ****,",negative,-1,60-70
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,0,70-100
6e0c6d75b1,fun,positive,1,0-20
50e14c0bb8,Soooo high,neutral,0,21-30
e050245fbd,Both of you,neutral,0,31-45
fc2cbefa9d,Wow... u just became cooler.,positive,1,46-60
2339a9b08b,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,0,60-70
16fab9f95b,like,positive,1,70-100
74a76f6e0a,DANGERously,negative,-1,0-20
04dd1d2e34,lost,negative,-1,21-30
bbe3cbf620,test test from the LG enV2,neutral,0,31-45
8a939bfb59,"Uh oh, I am sunburned",negative,-1,46-60
3440297f8b,*sigh*,negative,-1,60-70
919fa93391,sick,negative,-1,70-100
af3fed7fc3,onna,negative,-1,0-20
40e7becabf,Hes just not that into you,neutral,0,21-30
04d17ef61e,"oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,0,31-45
e48b0b8a23,interesting.,positive,1,46-60
7de057cf40,is cleaning the house for her family who is comming later today..,neutral,0,60-70
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,0,70-100
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,0,0-20
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",positive,1,21-30
852edc3769,I`m sorry.,negative,-1,31-45
bdc32ea43c,.no internet,negative,-1,46-60
6ce4a4954b,fun,positive,1,60-70
d22e6d40a7,Power back up not working too,negative,-1,70-100
d33f811375,Quite....heavenly,positive,1,0-20
7d8c4c11e4,hope,positive,1,21-30
1c31703aef,well so much for being unhappy for about 10 minute,negative,-1,31-45
2dc51711bc,funny.,positive,1,46-60
d21ab5855b,"Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,0,60-70
4f5267ad70,"Thats it, its the end. Tears for Fears",neutral,0,70-100
2724775d6b,miss,negative,-1,0-20
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,0,21-30
4b61dffbeb,soooooo sleeeeepy!!!,negative,-1,31-45
2863f435bd,A little happy fo,positive,1,46-60
d93afa85cf,"Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,0,60-70
fab6b7d16c,avid fan of,positive,1,70-100
2e7082d1c8,MAYDAY?!,neutral,0,0-20
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,0,21-30
c77717b103,I love to!,positive,1,31-45
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,0,46-60
ddf296dffa,SUCKKKKKK,negative,-1,60-70
c3924dc9e4,:visiting my friendster and facebook,neutral,0,70-100
3d9d4b0b55,dont like go,negative,-1,0-20
3fcea4debc,d I`m not thrilled at all with mine.,negative,-1,21-30
a3ae670885,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,0,31-45
15d5f3a41b,"also bored at school, its my third freelesson( freistunde )",neutral,0,46-60
3c4a21b2cb,hm... Both of us I guess...,neutral,0,60-70
11084dac09,it is ****...u have dissappointed me that past few days,negative,-1,70-100
d8ba2a99a9,romance zero is funny,positive,1,0-20
e77fd45003,I`d rather do the early run..but I am a morning runner,neutral,0,21-30
b159318d76,hurts,negative,-1,31-45
6086b1f016,will be back later.,neutral,0,46-60
703afdc44b,Torn ace of hearts,negative,-1,60-70
90f3d2b572,what fun are you speaking of?,neutral,0,70-100
52483f7da8,"i lost all my friends, i`m alone and sleepy..",negative,-1,0-20
a4b0888da6,haha yes,neutral,0,21-30
2a9765b7f9,I give in to easily,negative,-1,31-45
90a2cdb657,favorite,positive,1,46-60
98f25bc596,jealous..,negative,-1,60-70
23e1f7dca4,Is at a photoshoot.,neutral,0,70-100
95e12b1cb1,s awesome,positive,1,0-20
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,0,21-30
fa2654e730,Chilliin,positive,1,31-45
187494c25b,"If you know such agent, do let me know",neutral,0,46-60
4213627c3c,I still smell of smoke  #kitchenfire,neutral,0,60-70
a4e00d4d26,better,positive,1,70-100
04e2e334de,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral,0,0-20
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,0,21-30
a6c61eac26,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,0,31-45
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,0,46-60
35f393a245,BADDD.,negative,-1,60-70
b2c9f115b1,My sources say no,neutral,0,70-100
0a61cbf4b5,I am sooo tired,negative,-1,0-20
ee9ec7a5a4,"Hey, you change your twitter account, and you didn`t even tell me...",neutral,0,21-30
bbbc46889b,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,1,31-45
58d382e07a,lucky,positive,1,46-60
cb4d439ebc,fell asleep waiting for my ride!,neutral,0,60-70
64ed512788,Sick.,negative,-1,70-100
4cd390c007,", sorry guys",negative,-1,0-20
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,1,21-30
0c0563423e,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,0,31-45
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,0,46-60
bffa3ddd61,i miss you bby,negative,-1,60-70
9339ee8e0b,cool,positive,1,70-100
a76f9cf8ce,Love it there,positive,1,0-20
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,neutral,0,21-30
a3de81e1ba,Hi  how are you doing ???  *just joined twitter...,neutral,0,31-45
55bacda5eb,tired,negative,-1,46-60
b63ed6da62,eating ice cream and then getting ready for graduation.,neutral,0,60-70
4c41a35a2a,Happy Mothers day to all you Mums out there,positive,1,70-100
61a8e11e8a,freaked,negative,-1,0-20
447dc22c81,unfortunately,negative,-1,21-30
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,0,31-45
92e1b6846e,best,positive,1,46-60
2207d982bc,Pretty,positive,1,60-70
15e01e1749,"Certainly not Cheers than, huh?",neutral,0,70-100
ebcdf07ac5,"horrible,",negative,-1,0-20
fd9fb4f1ad,busy,negative,-1,21-30
6b018d3d2d,Awesome.,positive,1,31-45
327a009a7d,at least I get to watch over time  Let`s go Pens!!,neutral,0,46-60
d0d3c6f298,cool i wear black most of the time when i go out,neutral,0,60-70
40649553ef,thanks,positive,1,70-100
561b44a42f,safe,positive,1,0-20
a05aea73d7,I wish I was allowed to go,positive,1,21-30
9c4817f73b,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me,neutral,0,31-45
f0c1601d8b,has tickets.......?,neutral,0,46-60
d421fbd332,"Thank you,",positive,1,60-70
99b7ec4b0b,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,0,70-100
a655fbb5eb,I love my,positive,1,0-20
43e9a93104,I don`t feel confident,negative,-1,21-30
401869d615,sad.,negative,-1,31-45
9843c4688e,hahaa your awesomee !,positive,1,46-60
87fbf14655,awesomeeeee,positive,1,60-70
22d1806fa0,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",neutral,0,70-100
9d2cffd953,"I had it! On my itunes, but then I lost all my songs.",neutral,0,0-20
f78761f7ec,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral,0,21-30
66057d58c2,Not looking forward,negative,-1,31-45
af90ad5989,Poor you,negative,-1,46-60
f0460d611d,not well,negative,-1,60-70
6649f3558c,Not a prob,positive,1,70-100
24532ab83c,"at dads, watching some mtv and am going on sims2 in a minutee",neutral,0,0-20
8e1583cb08,Absolutely,neutral,0,21-30
4ea61dbc7a,what`s the matter chickadee?,neutral,0,31-45
94f67cfa6d,y adore,positive,1,46-60
29dfaf5e3b,good,positive,1,60-70
974b35f889,I love him too,positive,1,70-100
b495300bbf,painful.,negative,-1,0-20
504539e6ec,sad?,negative,-1,21-30
6903cb08f2,e nice,positive,1,31-45
1996048e7a,i wish,positive,1,46-60
c6d0c7676c,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,0,60-70
ef74bab7f3,"Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,0,70-100
f3cf8ec01b,Humous and Dorito`s.... Oh yes,neutral,0,0-20
cb1b0d191d,"missed all the awesome weather,",negative,-1,21-30
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,0,31-45
997a62f83f,terrible!,negative,-1,46-60
7e1757d4f0,"Unfortunatley,",negative,-1,60-70
254546cd2c,"That sucks, tho.",negative,-1,70-100
7e4ed52c4a,Hate fighting,negative,-1,0-20
5069ae7a15,"I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,0,21-30
48cdcd5f28,Car-warmed Sprite tastes like sore throat,negative,-1,31-45
1b1b02af59,Just came 11th in cross country and beat dumbo,neutral,0,46-60
ae71041e21,enjoyable.,positive,1,60-70
11c10e3fc5,endearing-,positive,1,70-100
19526ac03e,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,0,0-20
960bbdc0c3,goooooddd morning tweets!!,positive,1,21-30
fd285fe74a,hate,negative,-1,31-45
a5a1c996c0,fine!,positive,1,46-60
20ec7c7c32,i don`t like the other ones.,negative,-1,60-70
b948984e8d,Mmmmmmmm... ? it in the morning,neutral,0,70-100
6824c44c21,me neither,neutral,0,0-20
02d140362f,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,0,21-30
5f93cc70ff,Bugger. forgot I still have washing in my machine,negative,-1,31-45
4e6a5c0034,"sending love, blessings & healing thoughts to you & family  peace",positive,1,46-60
e4e9b8713a,.really bad,negative,-1,60-70
08975f62a8,"ah yes, I know that feeling",neutral,0,70-100
4a1ce7dc3b,Night of the cookers with my dad,neutral,0,0-20
328a0e76bd,brutal,negative,-1,21-30
abbd0db2a5,Nope I am in Coquitlam,neutral,0,31-45
940eb93dd5,boring,negative,-1,46-60
c78bf59e67,p sounds like fun,positive,1,60-70
e73425ffdc,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,0,70-100
e56eeb4968,great,positive,1,0-20
7162d447ab,excited,positive,1,21-30
f3d95b57b1,good morning,positive,1,31-45
5e4eac2b2e,its the best show EVER!,positive,1,46-60
bc02870b7d,messed,negative,-1,60-70
80e45e833f,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,0,70-100
f29df52d91,I want to know when the auditions are Mander! Text or...reply please!,neutral,0,0-20
079e4e3472,NOT THE SECRET NAMEREBECCA PLEASE,negative,-1,21-30
557e676fe4,miss,negative,-1,31-45
8d09044937,i need to get my computer fixed,neutral,0,46-60
9d3a1e0269,illness,negative,-1,60-70
7ff2dbbe25,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,0,70-100
5a254fbb98,no sir...i woulda put honey...but i don`t have any,neutral,0,0-20
417176c08e,i totally loved it!,positive,1,21-30
2bf5c7dba7,i <3 you. u helped me thru the hrdest time of my life!,positive,1,31-45
8407ac30b0,sad,negative,-1,46-60
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,neutral,0,60-70
97625460cf,ok then,neutral,0,70-100
32e4ffe225,why baby?,neutral,0,0-20
24ee55f264,sick!,negative,-1,21-30
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,0,31-45
a0a306868a,oww,negative,-1,46-60
9b11b686ec,happy 1 year! <3,positive,1,60-70
7e7bc11e45,Goooooooooooood Morrrrrrrrning,positive,1,70-100
28dbada620,*phew*  Will make a note in case anyone else runs into the same issueï¿½,neutral,0,0-20
3e880ec28d,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,-1,21-30
38271074d1,This diet is killing me,negative,-1,31-45
ef12a3d183,i talk to you,neutral,0,46-60
f0db54f5bf,bored..,negative,-1,60-70
e651d415c6,e fun,positive,1,70-100
